ativo; ultimoPreco;quantidade;oscilacao;tendencia;hora;qtdOfertaCompra;vlOfertaCompra;qtdOfertaVenda;vlOfertaVenda;qtdNegociada;volumeNegocios;negocios;statusPapel;precoTeoricoAbertura;qtdTeoricaAberrtura;dtCotacao;fechamentoAnterior;precoAbertura;precoMinimo;precoMedio;precoMaximo;dtFechamento;vlFechamento
SULA11;29,62;100;-1,17;-;14:19:12;500;29,62;900;29,63;330800;9829949;1996;S;;;08/03/2019;29,97;29,97;29,45;29,72;30,03;07/03/2019;
PSSA3;54,28;100;-0,64;+;14:19:15;900;54,27;400;54,28;341100;18666359;2173;S;;;08/03/2019;54,63;54,86;53,96;54,72;55,69;07/03/2019;
PEAB3;;;;;;;;1000;42,00;;;;S;;;;41,00;;;;;06/03/2019;
SULA3;;;;;;100;12,01;100;13,45;;;;S;;;;13,50;;;;;06/03/2019;
PEAB4;;;;;;;;100;44,99;;;;S;;;;43,00;;;;;25/02/2019;
ADHM3;1,75;100;0,00;;11:08:12;100;1,67;900;1,75;100;175;1;S;;;08/03/2019;1,75;1,75;1,75;1,75;1,75;07/03/2019;
BOBR4;2,57;900;-1,15;=;14:17:49;10000;2,53;3100;2,59;46200;118360;53;S;;;08/03/2019;2,60;2,60;2,52;2,56;2,60;07/03/2019;
NATU3;48,38;100;3,64;=;14:19:13;1000;48,37;2300;48,40;831500;39618334;4698;S;;;08/03/2019;46,68;46,30;46,30;47,65;48,70;07/03/2019;
IDNT3;3,14;100;-1,57;=;14:10:11;100;3,14;1000;3,17;2600;8124;9;S;;;08/03/2019;3,19;3,10;3,10;3,12;3,18;07/03/2019;
LINX3;29,50;100;0,37;-;14:19:21;800;29,50;600;29,51;324000;9469803;2465;S;;;08/03/2019;29,39;29,05;28,65;29,23;29,67;07/03/2019;
TOTS3;36,64;100;-0,65;+;14:19:12;4100;36,63;2100;36,64;548900;20167342;2607;S;;;08/03/2019;36,88;36,99;36,13;36,74;37,18;07/03/2019;
SQIA3;29,68;300;1,68;+;14:12:45;100;29,50;400;29,68;9700;286121;50;S;;;08/03/2019;29,19;29,99;29,16;29,50;29,99;07/03/2019;
NUTR3;;;;;;300;35,00;500;59,00;;;;S;;;;33,00;;;;;05/02/2019;
FHER3;2,25;100;0,00;=;14:03:02;3500;2,25;1000;2,26;62400;140658;68;S;;;08/03/2019;2,25;2,24;2,23;2,25;2,28;07/03/2019;
CRPG3;;;;;;100;38,00;100;40,00;;;;S;;;;38,01;;;;;06/03/2019;
CRPG5;37,40;400;0,21;-;13:49:59;100;37,31;400;37,45;11300;420310;45;S;;;08/03/2019;37,32;37,06;37,06;37,20;37,64;07/03/2019;
CRPG6;37,64;100;-0,95;+;13:00:23;100;37,13;100;37,45;400;14975;4;S;;;08/03/2019;38,00;37,50;37,11;37,44;37,64;07/03/2019;
GPCP3;11,45;100;-0,35;;13:26:26;100;11,40;1100;11,49;100;1145;1;S;;;08/03/2019;11,49;11,45;11,45;11,45;11,45;07/03/2019;
ELEK4;;;;;;200;10,50;100;13,00;;;;S;;;;12,99;;;;;25/02/2019;
ELEK3;;;;;;200;11,00;1000;14,29;;;;S;;;;13,35;;;;;01/02/2019;
UNIP6;41,26;100;-1,06;-;14:17:57;500;41,26;100;41,37;48900;2016861;230;S;;;08/03/2019;41,70;41,69;40,80;41,24;41,69;07/03/2019;
UNIP3;41,10;100;-0,29;+;13:32:00;900;41,00;100;41,21;2300;93745;13;S;;;08/03/2019;41,22;40,99;40,40;40,76;41,10;07/03/2019;
UNIP5;41,00;100;0,00;;13:05:52;100;40,51;100;41,90;1300;53300;9;S;;;08/03/2019;41,00;41,00;41,00;41,00;41,00;07/03/2019;
